forecast_date,forecast_day,site_catid,short_name,group,obs_ozone_ppb,obs_pm25_ugm3,obs_ozone_aqi,obs_pm25_aqi,state,fcst_ozone_aqi,fcst_ozone_ppb,fcst_pm25_aqi,fcst_pm25_ugm3,date_issued,is_forecast
2023-01-01,2,27-003-1002,Anoka,North Twin Cities Metro,31,10,29,42,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-007-2304,Red_Lake,Red Lake,NA,14.6,NA,56,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-017-7417,Fond_Du_Lac,Fond du Lac,NA,5.8,NA,24,MN,NA,NA,green,NA,NA,NA
2023-01-01,2,27-021-3410,Leech_Lake,Leech Lake,NA,13.3,NA,54,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-035-3204,Brainerd,Brainerd,NA,14.8,NA,57,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-037-0470,Apple_Valley,South Twin Cities Metro,NA,12.1,NA,51,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-037-0480,Lakeville,South Twin Cities Metro,NA,12.2,NA,51,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-053-0962,MSP,Minneapolis-St. Paul,NA,12.4,NA,52,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-053-0963,HC_Anderson,Minneapolis-St. Paul,NA,12.8,NA,52,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-075-0005,Ely,Ely,NA,8.2,NA,34,MN,NA,NA,green,NA,NA,NA
2023-01-01,2,27-083-4210,Marshall,Marshall,NA,7.1,NA,30,MN,NA,NA,green,NA,NA,NA
2023-01-01,2,27-109-5008,Rochester,Rochester,NA,10.3,NA,43,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-123-0871,Harding,Minneapolis-St. Paul,NA,14,NA,55,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-137-7001,Virginia,Virginia,NA,12.5,NA,52,MN,NA,NA,green,NA,NA,NA
2023-01-01,2,27-137-7550,Duluth_WDSE,Duluth,28,13.8,26,55,MN,NA,NA,green,NA,NA,NA
2023-01-01,2,27-139-0505,Shakopee,South Twin Cities Metro,31,12.6,29,52,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,27-145-3052,St_Cloud,St. Cloud,NA,11.9,NA,50,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,38-017-1004,Fargo,Moorhead,32,17.7,30,63,MN,NA,NA,yellow,NA,NA,NA
2023-01-01,2,55-063-0012,Winona,Winona,NA,11.9,NA,50,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-003-1002,Anoka,North Twin Cities Metro,25,14.4,23,56,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-007-2304,Red_Lake,Red Lake,NA,11.2,NA,47,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-017-7417,Fond_Du_Lac,Fond du Lac,NA,6.3,NA,26,MN,NA,NA,green,NA,NA,NA
2023-01-02,3,27-021-3410,Leech_Lake,Leech Lake,NA,9.1,NA,38,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-035-3204,Brainerd,Brainerd,NA,14,NA,55,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-037-0470,Apple_Valley,South Twin Cities Metro,NA,20.2,NA,68,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-037-0480,Lakeville,South Twin Cities Metro,NA,19.2,NA,66,MN,NA,NA,yellow,NA,NA,NA
2023-01-02,3,27-053-0962,MSP,Minneapolis-St. Paul,NA,19.5,NA,67,MN,NA,NA,yellow,NA,NA,NA
